"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 04:35:13 GMT 2022","Tue Nov 15 04:35:14 GMT 2022","1206","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Nov 15 04:34:49 GMT 2022","Tue Nov 15 04:34:55 GMT 2022","5796","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Nov 15 04:34:55 GMT 2022","Tue Nov 15 04:35:13 GMT 2022","17495","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Nov 15 04:34:55 GMT 2022","Tue Nov 15 04:34:55 GMT 2022","43","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Nov 15 04:34:55 GMT 2022","Tue Nov 15 04:34:55 GMT 2022","24","","theia-app.test.js","Theia app","","","should show status bar",""
