"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 04:25:40 GMT 2023","Wed Jun 21 04:25:47 GMT 2023","7606","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Jun 21 04:25:47 GMT 2023","Wed Jun 21 04:25:47 GMT 2023","31","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Jun 21 04:25:47 GMT 2023","Wed Jun 21 04:26:05 GMT 2023","17610","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Jun 21 04:26:05 GMT 2023","Wed Jun 21 04:26:06 GMT 2023","1187","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Jun 21 04:25:47 GMT 2023","Wed Jun 21 04:25:47 GMT 2023","54","","theia-app.test.js","Theia app","","","should have menu bar items",""
