"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 21 05:19:18 GMT 2022","Fri Oct 21 05:19:19 GMT 2022","1032","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Fri Oct 21 05:19:02 GMT 2022","Fri Oct 21 05:19:02 GMT 2022","45","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Fri Oct 21 05:18:56 GMT 2022","Fri Oct 21 05:19:02 GMT 2022","5845","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Fri Oct 21 05:19:02 GMT 2022","Fri Oct 21 05:19:02 GMT 2022","18","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Fri Oct 21 05:19:02 GMT 2022","Fri Oct 21 05:19:18 GMT 2022","16306","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
