"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 05:11:22 GMT 2022","Tue Oct 04 05:11:40 GMT 2022","18777","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Oct 04 05:11:15 GMT 2022","Tue Oct 04 05:11:22 GMT 2022","6165","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Oct 04 05:11:40 GMT 2022","Tue Oct 04 05:11:42 GMT 2022","1304","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Oct 04 05:11:22 GMT 2022","Tue Oct 04 05:11:22 GMT 2022","60","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Oct 04 05:11:22 GMT 2022","Tue Oct 04 05:11:22 GMT 2022","31","","theia-app.test.js","Theia app","","","should show status bar",""
