"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 04:28:33 GMT 2023","Fri Jan 06 04:28:34 GMT 2023","1354","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Fri Jan 06 04:28:14 GMT 2023","Fri Jan 06 04:28:33 GMT 2023","19114","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Fri Jan 06 04:28:14 GMT 2023","Fri Jan 06 04:28:14 GMT 2023","83","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Fri Jan 06 04:28:06 GMT 2023","Fri Jan 06 04:28:14 GMT 2023","7910","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Fri Jan 06 04:28:14 GMT 2023","Fri Jan 06 04:28:14 GMT 2023","23","","theia-app.test.js","Theia app","","","should show status bar",""
