"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 23 05:26:00 GMT 2022","Tue Aug 23 05:26:00 GMT 2022","21","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Aug 23 05:26:17 GMT 2022","Tue Aug 23 05:26:18 GMT 2022","1148","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Aug 23 05:26:00 GMT 2022","Tue Aug 23 05:26:00 GMT 2022","50","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Aug 23 05:26:00 GMT 2022","Tue Aug 23 05:26:17 GMT 2022","17658","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Aug 23 05:25:54 GMT 2022","Tue Aug 23 05:26:00 GMT 2022","6050","","theia-app.test.js","Theia app","","","should show main content panel",""
