"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 04:29:44 GMT 2023","Wed Mar 08 04:29:45 GMT 2023","1201","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Mar 08 04:29:27 GMT 2023","Wed Mar 08 04:29:27 GMT 2023","21","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Mar 08 04:29:19 GMT 2023","Wed Mar 08 04:29:27 GMT 2023","7706","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Mar 08 04:29:27 GMT 2023","Wed Mar 08 04:29:44 GMT 2023","17127","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Mar 08 04:29:27 GMT 2023","Wed Mar 08 04:29:27 GMT 2023","53","","theia-app.test.js","Theia app","","","should have menu bar items",""
