"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 05:18:49 GMT 2022","Wed Aug 24 05:19:07 GMT 2022","17234","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Aug 24 05:18:49 GMT 2022","Wed Aug 24 05:18:49 GMT 2022","49","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Aug 24 05:18:49 GMT 2022","Wed Aug 24 05:18:49 GMT 2022","22","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Aug 24 05:18:43 GMT 2022","Wed Aug 24 05:18:49 GMT 2022","5739","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Aug 24 05:19:07 GMT 2022","Wed Aug 24 05:19:08 GMT 2022","1193","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
