"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 04:25:18 GMT 2023","Thu May 11 04:25:26 GMT 2023","7527","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu May 11 04:25:26 GMT 2023","Thu May 11 04:25:45 GMT 2023","19201","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu May 11 04:25:26 GMT 2023","Thu May 11 04:25:26 GMT 2023","68","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu May 11 04:25:45 GMT 2023","Thu May 11 04:25:47 GMT 2023","1425","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu May 11 04:25:26 GMT 2023","Thu May 11 04:25:26 GMT 2023","34","","theia-app.test.js","Theia app","","","should show status bar",""
