"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 06 04:37:29 GMT 2022","Sun Nov 06 04:37:30 GMT 2022","1014","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sun Nov 06 04:37:07 GMT 2022","Sun Nov 06 04:37:13 GMT 2022","5643","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sun Nov 06 04:37:13 GMT 2022","Sun Nov 06 04:37:13 GMT 2022","65","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sun Nov 06 04:37:13 GMT 2022","Sun Nov 06 04:37:13 GMT 2022","22","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sun Nov 06 04:37:13 GMT 2022","Sun Nov 06 04:37:29 GMT 2022","16559","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
