"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 04:25:42 GMT 2023","Wed Apr 26 04:25:44 GMT 2023","1119","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Apr 26 04:25:23 GMT 2023","Wed Apr 26 04:25:28 GMT 2023","5334","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Apr 26 04:25:28 GMT 2023","Wed Apr 26 04:25:28 GMT 2023","15","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Apr 26 04:25:28 GMT 2023","Wed Apr 26 04:25:28 GMT 2023","37","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Apr 26 04:25:28 GMT 2023","Wed Apr 26 04:25:42 GMT 2023","14448","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
