"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 04:52:54 GMT 2022","Tue Nov 08 04:52:59 GMT 2022","4889","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Nov 08 04:52:59 GMT 2022","Tue Nov 08 04:52:59 GMT 2022","24","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Nov 08 04:52:59 GMT 2022","Tue Nov 08 04:53:14 GMT 2022","15058","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Nov 08 04:53:14 GMT 2022","Tue Nov 08 04:53:15 GMT 2022","986","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Nov 08 04:52:59 GMT 2022","Tue Nov 08 04:52:59 GMT 2022","36","","theia-app.test.js","Theia app","","","should have menu bar items",""
