"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 05:07:37 GMT 2022","Thu Aug 18 05:07:37 GMT 2022","42","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Aug 18 05:07:32 GMT 2022","Thu Aug 18 05:07:37 GMT 2022","4964","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Aug 18 05:07:51 GMT 2022","Thu Aug 18 05:07:52 GMT 2022","977","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Aug 18 05:07:37 GMT 2022","Thu Aug 18 05:07:51 GMT 2022","14339","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Aug 18 05:07:37 GMT 2022","Thu Aug 18 05:07:37 GMT 2022","20","","theia-app.test.js","Theia app","","","should show status bar",""
