"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 04:53:12 GMT 2022","Thu Jul 28 04:53:17 GMT 2022","4797","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Jul 28 04:53:17 GMT 2022","Thu Jul 28 04:53:17 GMT 2022","41","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Jul 28 04:53:17 GMT 2022","Thu Jul 28 04:53:17 GMT 2022","21","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Jul 28 04:53:17 GMT 2022","Thu Jul 28 04:53:31 GMT 2022","14097","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Jul 28 04:53:31 GMT 2022","Thu Jul 28 04:53:32 GMT 2022","1238","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
