"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 19 04:25:24 GMT 2023","Mon Jun 19 04:25:25 GMT 2023","1067","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Jun 19 04:25:08 GMT 2023","Mon Jun 19 04:25:08 GMT 2023","22","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Jun 19 04:25:08 GMT 2023","Mon Jun 19 04:25:24 GMT 2023","15128","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Jun 19 04:25:08 GMT 2023","Mon Jun 19 04:25:08 GMT 2023","37","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Jun 19 04:25:02 GMT 2023","Mon Jun 19 04:25:08 GMT 2023","6504","","theia-app.test.js","Theia app","","","should show main content panel",""
