"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 20 04:28:35 GMT 2023","Mon Feb 20 04:28:35 GMT 2023","38","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Feb 20 04:28:35 GMT 2023","Mon Feb 20 04:28:50 GMT 2023","15003","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Feb 20 04:28:35 GMT 2023","Mon Feb 20 04:28:35 GMT 2023","21","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Feb 20 04:28:50 GMT 2023","Mon Feb 20 04:28:51 GMT 2023","1315","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Feb 20 04:28:29 GMT 2023","Mon Feb 20 04:28:35 GMT 2023","5586","","theia-app.test.js","Theia app","","","should show main content panel",""
