"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 21:47:31 GMT 2023","Mon Jan 02 21:47:31 GMT 2023","18","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Jan 02 21:47:46 GMT 2023","Mon Jan 02 21:47:48 GMT 2023","1055","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Jan 02 21:47:31 GMT 2023","Mon Jan 02 21:47:31 GMT 2023","36","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Jan 02 21:47:31 GMT 2023","Mon Jan 02 21:47:46 GMT 2023","14974","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Jan 02 21:47:26 GMT 2023","Mon Jan 02 21:47:31 GMT 2023","5162","","theia-app.test.js","Theia app","","","should show main content panel",""
