"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 05:38:03 GMT 2022","Mon Sep 05 05:38:03 GMT 2022","37","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Sep 05 05:37:58 GMT 2022","Mon Sep 05 05:38:03 GMT 2022","5595","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Mon Sep 05 05:38:03 GMT 2022","Mon Sep 05 05:38:03 GMT 2022","20","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Sep 05 05:38:18 GMT 2022","Mon Sep 05 05:38:19 GMT 2022","971","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Sep 05 05:38:03 GMT 2022","Mon Sep 05 05:38:18 GMT 2022","14333","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
