"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 21 04:26:59 GMT 2022","Wed Dec 21 04:27:14 GMT 2022","14626","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Dec 21 04:26:59 GMT 2022","Wed Dec 21 04:26:59 GMT 2022","26","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Dec 21 04:26:59 GMT 2022","Wed Dec 21 04:26:59 GMT 2022","55","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Dec 21 04:27:14 GMT 2022","Wed Dec 21 04:27:15 GMT 2022","932","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Dec 21 04:26:54 GMT 2022","Wed Dec 21 04:26:59 GMT 2022","5226","","theia-app.test.js","Theia app","","","should show main content panel",""
