"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 11 04:27:49 GMT 2023","Wed Jan 11 04:27:54 GMT 2023","5097","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Jan 11 04:27:54 GMT 2023","Wed Jan 11 04:27:54 GMT 2023","38","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Jan 11 04:28:08 GMT 2023","Wed Jan 11 04:28:10 GMT 2023","1214","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Jan 11 04:27:54 GMT 2023","Wed Jan 11 04:27:54 GMT 2023","15","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Jan 11 04:27:54 GMT 2023","Wed Jan 11 04:28:08 GMT 2023","14321","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
