"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 04:30:07 GMT 2023","Tue Feb 28 04:30:07 GMT 2023","26","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Feb 28 04:29:59 GMT 2023","Tue Feb 28 04:30:07 GMT 2023","7514","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Feb 28 04:30:07 GMT 2023","Tue Feb 28 04:30:07 GMT 2023","62","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Feb 28 04:30:07 GMT 2023","Tue Feb 28 04:30:26 GMT 2023","19490","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Feb 28 04:30:26 GMT 2023","Tue Feb 28 04:30:28 GMT 2023","1421","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
