"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 30 04:26:44 GMT 2023","Thu Mar 30 04:26:51 GMT 2023","6758","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Mar 30 04:26:51 GMT 2023","Thu Mar 30 04:26:51 GMT 2023","22","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Mar 30 04:26:51 GMT 2023","Thu Mar 30 04:26:51 GMT 2023","63","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Mar 30 04:27:08 GMT 2023","Thu Mar 30 04:27:09 GMT 2023","1329","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Mar 30 04:26:51 GMT 2023","Thu Mar 30 04:27:08 GMT 2023","17236","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
