"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 04:25:35 GMT 2023","Wed Jun 14 04:25:35 GMT 2023","40","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Jun 14 04:25:27 GMT 2023","Wed Jun 14 04:25:35 GMT 2023","7731","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Jun 14 04:25:50 GMT 2023","Wed Jun 14 04:25:51 GMT 2023","1027","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Jun 14 04:25:35 GMT 2023","Wed Jun 14 04:25:35 GMT 2023","18","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Jun 14 04:25:35 GMT 2023","Wed Jun 14 04:25:50 GMT 2023","15685","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
