"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 11:28:45 GMT 2022","Thu Jul 28 11:28:45 GMT 2022","17","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Jul 28 11:28:45 GMT 2022","Thu Jul 28 11:28:45 GMT 2022","53","","theia-app.test.js","Theia app","","","should have menu bar items",""
"failed","Thu Jul 28 11:29:01 GMT 2022","Thu Jul 28 11:29:16 GMT 2022","14481","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Jul 28 11:28:40 GMT 2022","Thu Jul 28 11:28:45 GMT 2022","5264","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Jul 28 11:28:45 GMT 2022","Thu Jul 28 11:28:59 GMT 2022","14220","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
