"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 04:27:29 GMT 2023","Wed Feb 01 04:27:44 GMT 2023","15417","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Feb 01 04:27:29 GMT 2023","Wed Feb 01 04:27:29 GMT 2023","39","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Feb 01 04:27:23 GMT 2023","Wed Feb 01 04:27:28 GMT 2023","5803","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Feb 01 04:27:44 GMT 2023","Wed Feb 01 04:27:45 GMT 2023","1033","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Feb 01 04:27:29 GMT 2023","Wed Feb 01 04:27:29 GMT 2023","17","","theia-app.test.js","Theia app","","","should show status bar",""
