"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 04:25:46 GMT 2023","Thu Mar 23 04:25:52 GMT 2023","5774","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Mar 23 04:25:52 GMT 2023","Thu Mar 23 04:26:08 GMT 2023","15639","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Mar 23 04:26:08 GMT 2023","Thu Mar 23 04:26:09 GMT 2023","1053","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Mar 23 04:25:52 GMT 2023","Thu Mar 23 04:25:52 GMT 2023","25","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Mar 23 04:25:52 GMT 2023","Thu Mar 23 04:25:52 GMT 2023","57","","theia-app.test.js","Theia app","","","should have menu bar items",""
