"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 04 04:27:11 GMT 2023","Sat Feb 04 04:27:11 GMT 2023","20","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sat Feb 04 04:27:28 GMT 2023","Sat Feb 04 04:27:29 GMT 2023","1234","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sat Feb 04 04:27:11 GMT 2023","Sat Feb 04 04:27:11 GMT 2023","47","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sat Feb 04 04:27:04 GMT 2023","Sat Feb 04 04:27:11 GMT 2023","6583","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sat Feb 04 04:27:11 GMT 2023","Sat Feb 04 04:27:28 GMT 2023","17390","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
