"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 04:24:52 GMT 2023","Thu May 25 04:24:52 GMT 2023","72","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu May 25 04:24:46 GMT 2023","Thu May 25 04:24:52 GMT 2023","6198","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu May 25 04:24:52 GMT 2023","Thu May 25 04:24:52 GMT 2023","29","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu May 25 04:25:09 GMT 2023","Thu May 25 04:25:10 GMT 2023","1086","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu May 25 04:24:52 GMT 2023","Thu May 25 04:25:09 GMT 2023","16656","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
