"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 04:44:48 GMT 2022","Mon Aug 08 04:45:07 GMT 2022","18902","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Aug 08 04:45:07 GMT 2022","Mon Aug 08 04:45:08 GMT 2022","1286","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Aug 08 04:44:48 GMT 2022","Mon Aug 08 04:44:48 GMT 2022","52","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Aug 08 04:44:41 GMT 2022","Mon Aug 08 04:44:48 GMT 2022","6333","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Mon Aug 08 04:44:48 GMT 2022","Mon Aug 08 04:44:48 GMT 2022","28","","theia-app.test.js","Theia app","","","should show status bar",""
