"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 04:28:48 GMT 2023","Mon Mar 13 04:28:48 GMT 2023","58","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Mar 13 04:28:40 GMT 2023","Mon Mar 13 04:28:48 GMT 2023","8228","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Mon Mar 13 04:28:48 GMT 2023","Mon Mar 13 04:29:05 GMT 2023","17321","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Mar 13 04:28:48 GMT 2023","Mon Mar 13 04:28:48 GMT 2023","40","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Mar 13 04:29:05 GMT 2023","Mon Mar 13 04:29:06 GMT 2023","1228","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
