"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 04:28:23 GMT 2023","Thu Jan 05 04:28:23 GMT 2023","47","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Jan 05 04:28:23 GMT 2023","Thu Jan 05 04:28:23 GMT 2023","19","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Jan 05 04:28:40 GMT 2023","Thu Jan 05 04:28:42 GMT 2023","1165","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Jan 05 04:28:17 GMT 2023","Thu Jan 05 04:28:23 GMT 2023","6042","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Jan 05 04:28:23 GMT 2023","Thu Jan 05 04:28:40 GMT 2023","16983","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
