"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 04:28:22 GMT 2022","Tue Dec 20 04:28:22 GMT 2022","37","","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Dec 20 04:28:14 GMT 2022","Tue Dec 20 04:28:22 GMT 2022","8285","","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Dec 20 04:28:22 GMT 2022","Tue Dec 20 04:28:22 GMT 2022","81","","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Dec 20 04:28:22 GMT 2022","Tue Dec 20 04:28:42 GMT 2022","20332","","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Dec 20 04:28:42 GMT 2022","Tue Dec 20 04:28:44 GMT 2022","1455","","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
